Nome: PAULISTANA
Codigo Estacao: A330
Latitude: -8.132288
Longitude: -41.142945
Altitude: 376
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;32,6;null;null;null;null;
2023-01-02;null;null;32,4;null;null;null;null;
2023-01-03;null;null;33;null;null;null;null;
2023-01-04;null;null;34,6;null;null;null;null;
2023-01-05;null;null;35;null;null;null;null;
2023-01-06;null;null;34,8;null;null;null;null;
2023-01-07;null;null;34,2;null;null;null;null;
2023-01-08;null;null;35,6;null;null;null;null;
2023-01-09;null;null;35;null;null;null;null;
2023-01-10;null;null;30,5;null;null;null;null;
2023-01-11;null;null;34,8;null;null;null;null;
2023-01-12;null;null;34,8;null;null;null;null;
2023-01-13;null;null;35,2;null;null;null;null;
2023-01-14;null;null;31,3;null;null;null;null;
2023-01-15;null;null;34,3;null;null;null;null;
2023-01-16;null;null;30,7;null;null;null;null;
2023-01-17;null;null;29,5;null;null;null;null;
2023-01-18;null;null;33,3;null;null;null;null;
2023-01-19;null;null;30,2;null;null;null;null;
2023-01-20;null;null;27,8;null;null;null;null;
2023-01-21;null;null;31,7;null;null;null;null;
2023-01-22;null;null;34;null;null;null;null;
2023-01-23;null;null;30,7;null;null;null;null;
2023-01-24;null;null;33,6;null;null;null;null;
2023-01-25;null;null;34;null;null;null;null;
2023-01-26;null;null;32,6;null;null;61,333333;null;
2023-01-27;null;null;33,3;null;null;null;null;
2023-01-28;null;null;32;null;null;null;null;
2023-01-29;null;null;32,4;null;null;null;null;
2023-01-30;null;null;32,7;null;null;null;null;
2023-01-31;null;null;31,9;null;null;null;null;
2023-02-01;null;null;32,4;null;null;null;null;
2023-02-02;null;null;33,1;null;null;null;null;
2023-02-03;null;null;31,1;null;null;68,166667;null;
2023-02-04;null;null;33,9;null;null;null;null;
2023-02-05;null;null;34,1;null;null;null;null;
2023-02-06;null;null;32,8;null;null;null;null;
2023-02-07;null;null;30,7;null;null;null;null;
2023-02-08;null;null;31,8;null;null;41,833333;null;
2023-02-09;null;null;34,1;null;null;null;null;
2023-02-10;null;null;32,9;null;null;51,166667;null;
2023-02-11;null;null;33,7;null;null;null;null;
2023-02-12;null;null;34,7;null;null;46;null;
2023-02-13;null;null;34,9;null;null;null;null;
2023-02-14;null;null;35,5;null;null;null;null;
2023-02-15;null;null;33,5;null;null;null;null;
2023-02-16;null;null;35,1;null;null;null;null;
2023-02-17;null;null;33,9;null;null;null;null;
2023-02-18;null;null;34;null;null;null;null;
2023-02-19;null;null;31,6;null;null;null;null;
2023-02-20;null;null;28,4;null;null;null;null;
2023-02-21;null;null;33,5;null;null;null;null;
